Ano/mês processamento,1 Região Norte,2 Região Nordeste,3 Região Sudeste,4 Região Sul,5 Região Centro-Oeste,Total
Jan/2013,1,6,12,9,3,31
Fev/2013,0,4,12,5,0,21
Mar/2013,0,6,16,5,0,27
Abr/2013,0,5,15,6,0,26
Mai/2013,1,3,11,6,2,23
Jun/2013,0,2,17,3,2,24
Jul/2013,0,6,16,8,3,33
Ago/2013,1,4,17,6,1,29
Set/2013,1,3,17,7,1,29
Out/2013,2,7,23,4,3,39
Nov/2013,0,3,17,4,3,27
Dez/2013,0,7,10,4,3,24
Jan/2014,1,6,14,8,4,33
Fev/2014,0,4,21,10,4,39
Mar/2014,1,5,28,10,4,48
Abr/2014,1,8,17,16,1,43
Mai/2014,1,4,27,16,1,49
Jun/2014,2,6,18,7,2,35
Jul/2014,2,4,22,8,4,40
Ago/2014,2,2,17,8,2,31
Set/2014,2,10,24,9,4,49
Out/2014,2,7,28,16,3,56
Nov/2014,0,2,20,14,4,40
Dez/2014,2,5,25,12,4,48
Jan/2015,1,10,39,12,5,67
Fev/2015,0,1,33,15,5,54
Mar/2015,1,10,29,20,3,63
Abr/2015,1,8,26,19,4,58
Mai/2015,1,14,42,17,4,78
Jun/2015,2,6,42,17,3,70
Jul/2015,1,10,50,23,6,90
Ago/2015,0,12,44,7,4,67
Set/2015,2,4,49,17,6,78
Out/2015,1,9,53,25,3,91
Nov/2015,3,10,36,18,8,75
Dez/2015,3,14,60,23,3,103
Jan/2016,2,13,51,23,8,97
Fev/2016,0,17,33,14,7,71
Mar/2016,0,16,45,24,6,91
Abr/2016,2,12,47,22,6,89
Mai/2016,3,15,65,24,7,114
Jun/2016,3,19,76,32,14,144
Jul/2016,3,20,56,20,3,102
Ago/2016,6,27,66,41,8,148
Set/2016,3,18,80,27,12,140
Out/2016,1,17,91,45,13,167
Nov/2016,3,19,66,33,14,135
Dez/2016,3,19,73,32,8,135
Jan/2017,4,21,94,49,8,176
Fev/2017,6,31,78,35,4,154
Mar/2017,8,29,98,57,14,206
Abr/2017,7,35,66,48,6,162
Mai/2017,6,36,118,63,10,233
Jun/2017,6,24,121,33,10,194
Jul/2017,3,24,99,38,13,177
Ago/2017,3,28,128,59,14,232
Set/2017,3,25,114,56,12,210
Out/2017,8,41,152,68,16,285
Nov/2017,2,41,136,57,12,248
Dez/2017,3,46,112,73,24,258
Jan/2018,6,51,152,75,16,300
Fev/2018,10,49,157,65,25,306
Mar/2018,7,55,169,75,15,321
Abr/2018,3,52,178,76,19,328
Mai/2018,27,270,847,476,81,1701
Jun/2018,32,295,787,426,66,1606
Jul/2018,43,314,902,467,71,1797
Ago/2018,37,299,967,493,89,1885
Set/2018,39,280,762,446,76,1603
Out/2018,32,292,990,532,73,1919
Nov/2018,40,286,876,473,90,1765
Dez/2018,43,288,721,434,74,1560
Jan/2019,39,338,951,553,100,1981
Fev/2019,50,289,945,421,91,1796
Mar/2019,40,317,880,492,87,1816
Abr/2019,64,337,1068,607,105,2181
Mai/2019,55,383,1154,736,333,2661
Jun/2019,79,336,1195,679,269,2558
Jul/2019,63,390,1412,740,168,2773
Ago/2019,69,386,1421,751,207,2834
Set/2019,74,412,1498,785,185,2954
Out/2019,65,466,1591,872,226,3220
Nov/2019,69,449,1372,793,207,2890
Dez/2019,84,421,1285,705,161,2656
Jan/2020,75,494,1442,884,221,3116
Fev/2020,74,387,1382,682,203,2728
Mar/2020,66,453,1412,690,154,2775
Abr/2020,50,358,1016,557,148,2129
Mai/2020,92,313,1127,686,186,2404
Jun/2020,80,378,1266,685,166,2575
Jul/2020,92,435,1277,691,136,2631
Ago/2020,71,423,1421,631,158,2704
Set/2020,72,473,1596,701,161,3003
Out/2020,88,417,1466,746,160,2877
Nov/2020,79,471,1492,738,179,2959
Dez/2020,80,465,1440,728,166,2879
Jan/2021,74,564,1418,773,149,2978
Fev/2021,82,454,1426,614,128,2704
Mar/2021,81,499,1503,710,176,2969
Abr/2021,65,372,1308,692,190,2627
Mai/2021,86,459,1441,690,159,2835
Jun/2021,86,436,1425,688,165,2800
Jul/2021,83,564,1426,797,170,3040
Ago/2021,101,557,1642,811,167,3278
Set/2021,99,510,1538,786,174,3107
Out/2021,74,488,1469,815,192,3038
Nov/2021,78,427,1491,822,201,3019
Dez/2021,83,457,1460,780,189,2969
Jan/2022,75,416,1401,740,150,2782
Fev/2022,74,455,1389,716,181,2815
Mar/2022,92,571,1564,866,241,3334
Abr/2022,71,390,1415,751,199,2826
Mai/2022,79,519,1554,844,218,3214
Jun/2022,83,459,1370,821,210,2943
Jul/2022,80,531,1496,788,186,3081
Ago/2022,95,557,1671,873,221,3417
Set/2022,100,454,1615,843,196,3208
