"Ano/mês processamento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"0 Ignorado/Exterior";"Total"
"Janeiro/2008";0;0;0;0;0;5625;5625
"Fevereiro/2008";0;0;0;0;0;7358;7358
"Março/2008";0;0;0;0;0;7461;7461
"Abril/2008";0;0;0;0;0;9111;9111
"Maio/2008";0;0;0;0;0;8001;8001
"Junho/2008";0;0;0;0;0;9458;9458
"Julho/2008";0;0;0;0;0;9075;9075
"Agosto/2008";0;0;0;0;0;10687;10687
"Setembro/2008";0;0;0;0;0;10212;10212
"Outubro/2008";0;0;0;0;0;9297;9297
"Novembro/2008";0;0;0;0;0;10078;10078
"Dezembro/2008";0;0;0;0;0;9429;9429
"Janeiro/2009";0;0;0;0;0;8451;8451
"Fevereiro/2009";0;0;0;0;0;10423;10423
"Março/2009";0;0;0;0;0;9724;9724
"Abril/2009";0;0;0;0;0;9904;9904
"Maio/2009";0;0;0;0;0;10050;10050
"Junho/2009";0;0;0;0;0;10668;10668
"Julho/2009";0;0;0;0;0;10555;10555
"Agosto/2009";0;0;0;0;0;11925;11925
"Setembro/2009";0;0;0;0;0;11659;11659
"Outubro/2009";0;0;0;0;0;11799;11799
"Novembro/2009";0;0;0;0;0;12233;12233
"Dezembro/2009";0;0;0;0;0;11937;11937
"Janeiro/2010";0;0;0;0;0;11182;11182
"Fevereiro/2010";0;0;0;0;0;12017;12017
"Março/2010";0;0;0;0;0;13260;13260
"Abril/2010";0;0;0;0;0;12984;12984
"Maio/2010";0;0;0;0;0;13532;13532
"Junho/2010";0;0;0;0;0;13411;13411
"Julho/2010";0;0;0;0;0;13764;13764
"Agosto/2010";0;0;0;0;0;14962;14962
"Setembro/2010";0;0;0;0;0;14350;14350
"Outubro/2010";0;0;0;0;0;13834;13834
"Novembro/2010";0;0;0;0;0;14810;14810
"Dezembro/2010";0;0;0;0;0;13845;13845
"Janeiro/2011";117;763;5141;1542;732;320;8615
"Fevereiro/2011";220;1283;7084;1863;1098;204;11752
"Março/2011";301;1223;7206;2128;1089;0;11947
"Abril/2011";281;1380;7248;2289;1194;0;12392
"Maio/2011";193;1385;8221;2250;1316;0;13365
"Junho/2011";190;1819;8206;2328;1405;0;13948
"Julho/2011";163;1604;7782;2494;1059;0;13102
"Agosto/2011";283;1530;8747;2630;1335;0;14525
"Setembro/2011";191;1519;8515;2832;1287;0;14344
"Outubro/2011";176;1632;8116;2949;1174;0;14047
"Novembro/2011";162;1612;8070;2674;1249;0;13767
"Dezembro/2011";196;1631;7908;2681;1124;0;13540
"Janeiro/2012";246;1414;7412;2562;1128;0;12762
"Fevereiro/2012";344;1413;7104;2269;1407;0;12537
"Março/2012";173;1947;9298;2894;1264;0;15576
"Abril/2012";312;1773;8072;2726;1382;0;14265
"Maio/2012";363;2134;9246;3028;1523;0;16294
"Junho/2012";394;2123;9108;3010;1660;0;16295
"Julho/2012";319;1904;10193;2828;1636;0;16880
"Agosto/2012";231;2039;9630;3115;1615;0;16630
"Setembro/2012";297;1746;9076;3038;1435;0;15592
"Outubro/2012";263;2032;10309;3456;1742;0;17802
"Novembro/2012";176;2423;8680;2962;1447;0;15688
"Dezembro/2012";232;1603;8249;2654;1247;0;13985
"Janeiro/2013";192;2668;8346;2707;1256;0;15169
"Fevereiro/2013";190;1383;8353;2550;1306;0;13782
"Março/2013";359;1783;9249;3202;1353;0;15946
"Abril/2013";329;2421;10109;3348;1774;0;17981
"Maio/2013";376;2048;9787;3227;1713;0;17151
"Junho/2013";199;1655;8683;3527;1539;0;15603
"Julho/2013";290;2276;9629;3664;1603;0;17462
"Agosto/2013";233;2104;10985;3661;1564;0;18547
"Setembro/2013";316;2143;10487;3537;1570;0;18053
"Outubro/2013";255;2226;11499;3989;1563;0;19532
"Novembro/2013";478;2230;10070;3869;1645;0;18292
"Dezembro/2013";294;1998;9030;3207;1582;0;16111
"Janeiro/2014";301;2216;9754;3628;1481;0;17380
"Fevereiro/2014";369;2275;10590;3451;1672;0;18357
"Março/2014";340;2184;10529;3366;1445;0;17864
"Abril/2014";640;2226;10995;3616;1705;0;19182
"Maio/2014";540;2462;10698;4022;1913;0;19635
"Junho/2014";413;1743;10732;3646;1661;0;18195
"Julho/2014";336;2620;11709;3755;1781;0;20201
"Agosto/2014";373;2513;11737;3976;1722;0;20321
"Setembro/2014";416;2474;13055;4039;1824;0;21808
