"Ano/mês processamento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"Janeiro/2012";123;441;2119;1272;191;4146
"Fevereiro/2012";134;478;1994;1195;225;4026
"Março/2012";115;525;2291;1420;240;4591
"Abril/2012";79;568;2182;1297;244;4370
"Maio/2012";82;571;2213;1268;264;4398
"Junho/2012";113;520;2180;1402;259;4474
"Julho/2012";111;596;2171;1356;262;4496
"Agosto/2012";120;520;2358;1369;265;4632
"Setembro/2012";93;633;2292;1291;257;4566
"Outubro/2012";144;660;2168;1245;273;4490
"Novembro/2012";111;612;2307;1398;318;4746
"Dezembro/2012";105;617;2330;1317;259;4628
"Janeiro/2013";110;539;2208;1389;293;4539
"Fevereiro/2013";113;540;2257;1263;275;4448
"Março/2013";111;608;2336;1501;284;4840
"Abril/2013";129;639;2433;1423;246;4870
"Maio/2013";98;840;2625;1459;335;5357
"Junho/2013";117;733;2501;1428;302;5081
"Julho/2013";141;755;2574;1587;288;5345
"Agosto/2013";119;749;2696;1514;287;5365
"Setembro/2013";161;621;2436;1578;283;5079
"Outubro/2013";150;758;2573;1480;296;5257
"Novembro/2013";148;724;2499;1425;312;5108
"Dezembro/2013";139;790;2331;1516;301;5077
"Janeiro/2014";116;756;2441;1447;272;5032
"Fevereiro/2014";94;613;2415;1492;289;4903
"Março/2014";91;620;2388;1568;291;4958
"Abril/2014";96;696;2255;1530;273;4850
"Maio/2014";111;714;2606;1593;285;5309
"Junho/2014";90;715;2451;1534;260;5050
"Julho/2014";88;723;2650;1534;278;5273
"Agosto/2014";84;752;2776;1612;338;5562
"Setembro/2014";129;792;2595;1762;275;5553
"Outubro/2014";95;786;2773;1680;333;5667
"Novembro/2014";103;732;2707;1524;266;5332
"Dezembro/2014";73;786;2478;1575;271;5183
"Janeiro/2015";117;719;2567;1602;312;5317
"Fevereiro/2015";119;754;2547;1568;282;5270
"Março/2015";99;831;2623;1495;370;5418
"Abril/2015";102;767;2710;1751;278;5608
"Maio/2015";96;815;2679;1826;338;5754
"Junho/2015";84;780;2650;1637;356;5507
"Julho/2015";121;837;2919;1773;333;5983
"Agosto/2015";95;813;2777;1890;345;5920
"Setembro/2015";103;885;2671;1897;310;5866
"Outubro/2015";97;819;2784;1715;288;5703
"Novembro/2015";109;795;2751;1758;276;5689
"Dezembro/2015";102;751;2865;1799;246;5763
"Janeiro/2016";99;757;2747;1625;306;5534
"Fevereiro/2016";117;704;2729;1769;293;5612
"Março/2016";124;813;2863;1741;395;5936
"Abril/2016";110;861;2725;1740;354;5790
"Maio/2016";117;883;2699;1692;356;5747
"Junho/2016";151;894;2882;1721;330;5978
"Julho/2016";175;863;2783;1687;390;5898
"Agosto/2016";151;931;2848;1730;375;6035
"Setembro/2016";178;1011;2773;1673;367;6002
"Outubro/2016";130;918;2761;1653;330;5792
"Novembro/2016";166;864;2809;1795;363;5997
"Dezembro/2016";148;827;3087;1769;323;6154
"Janeiro/2017";152;968;2858;1773;429;6180
"Fevereiro/2017";113;935;2764;1665;333;5810
"Março/2017";155;928;3042;1775;367;6267
"Abril/2017";110;840;2829;1727;333;5839
"Maio/2017";139;959;3057;1805;410;6370
"Junho/2017";156;970;3025;1871;321;6343
"Julho/2017";134;971;2826;1816;357;6104
"Agosto/2017";149;940;2993;1877;322;6281
"Setembro/2017";155;978;2949;1908;323;6313
"Outubro/2017";136;964;2917;1933;329;6279
"Novembro/2017";133;955;3072;1972;310;6442
"Dezembro/2017";99;924;3065;1956;337;6381
"Janeiro/2018";118;939;3053;2013;372;6495
"Fevereiro/2018";152;871;3032;1947;393;6395
"Março/2018";144;931;3049;2057;354;6535
"Abril/2018";122;1035;3033;2128;392;6710
"Maio/2018";124;929;3204;2055;358;6670
"Junho/2018";116;935;3032;2151;375;6609
