"Ano/mês processamento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"Janeiro/2012";12;33;202;78;22;347
"Fevereiro/2012";13;48;200;71;24;356
"Março/2012";9;54;208;79;18;368
"Abril/2012";6;57;223;59;22;367
"Maio/2012";5;54;234;76;26;395
"Junho/2012";8;47;236;71;22;384
"Julho/2012";9;71;206;69;28;383
"Agosto/2012";14;46;208;88;24;380
"Setembro/2012";4;54;205;69;21;353
"Outubro/2012";10;56;221;75;30;392
"Novembro/2012";12;43;191;74;34;354
"Dezembro/2012";8;49;211;72;35;375
"Janeiro/2013";12;44;215;91;24;386
"Fevereiro/2013";16;46;218;107;24;411
"Março/2013";19;34;226;94;26;399
"Abril/2013";10;56;224;85;13;388
"Maio/2013";10;72;228;82;33;425
"Junho/2013";10;59;251;101;21;442
"Julho/2013";13;52;226;110;25;426
"Agosto/2013";3;75;247;83;27;435
"Setembro/2013";7;55;228;94;22;406
"Outubro/2013";10;55;200;91;24;380
"Novembro/2013";7;57;246;97;22;429
"Dezembro/2013";10;44;217;86;37;394
"Janeiro/2014";15;58;236;106;29;444
"Fevereiro/2014";12;58;213;80;24;387
"Março/2014";6;49;240;74;33;402
"Abril/2014";9;64;228;109;24;434
"Maio/2014";13;60;257;113;23;466
"Junho/2014";10;51;257;89;24;431
"Julho/2014";15;62;246;101;27;451
"Agosto/2014";10;71;248;96;28;453
"Setembro/2014";16;55;231;93;18;413
"Outubro/2014";8;50;255;103;31;447
"Novembro/2014";12;55;262;100;20;449
"Dezembro/2014";7;63;219;92;25;406
"Janeiro/2015";21;49;226;86;18;400
"Fevereiro/2015";20;77;254;102;22;475
"Março/2015";12;60;271;105;34;482
"Abril/2015";8;55;242;107;26;438
"Maio/2015";14;66;261;100;33;474
"Junho/2015";10;67;232;102;28;439
"Julho/2015";8;57;248;118;22;453
"Agosto/2015";11;62;264;108;33;478
"Setembro/2015";10;58;279;94;32;473
"Outubro/2015";9;73;239;103;19;443
"Novembro/2015";7;57;271;99;16;450
"Dezembro/2015";15;49;279;97;18;458
"Janeiro/2016";11;66;255;100;27;459
"Fevereiro/2016";18;67;278;118;18;499
"Março/2016";11;53;274;128;32;498
"Abril/2016";17;65;255;113;22;472
"Maio/2016";14;90;240;114;28;486
"Junho/2016";22;70;275;111;20;498
"Julho/2016";22;63;266;114;27;492
"Agosto/2016";17;77;280;95;30;499
"Setembro/2016";16;64;223;90;41;434
"Outubro/2016";21;77;224;110;28;460
"Novembro/2016";21;63;248;118;31;481
"Dezembro/2016";18;63;268;87;21;457
"Janeiro/2017";14;67;311;103;48;543
"Fevereiro/2017";12;61;241;99;31;444
"Março/2017";16;64;285;128;27;520
"Abril/2017";8;52;279;113;30;482
"Maio/2017";20;57;296;104;34;511
"Junho/2017";22;67;268;125;30;512
"Julho/2017";17;71;266;117;23;494
"Agosto/2017";11;66;291;108;28;504
"Setembro/2017";19;72;286;113;26;516
"Outubro/2017";18;62;287;103;32;502
"Novembro/2017";13;77;298;114;33;535
"Dezembro/2017";8;52;275;108;21;464
"Janeiro/2018";18;68;278;126;33;523
"Fevereiro/2018";17;70;291;118;38;534
"Março/2018";24;58;303;120;29;534
"Abril/2018";18;79;294;94;25;510
"Maio/2018";17;77;289;101;26;510
"Junho/2018";6;93;329;114;24;566
"Julho/2018";18;72;297;112;35;534
"Agosto/2018";12;96;276;108;35;527
"Setembro/2018";18;87;296;104;30;535
"Outubro/2018";10;73;298;111;26;518
"Novembro/2018";14;60;266;110;37;487
"Dezembro/2018";14;78;270;116;26;504
"Janeiro/2019";18;88;326;108;32;572
"Fevereiro/2019";17;71;326;110;38;562
"Março/2019";20;69;327;106;39;561
"Abril/2019";17;54;300;121;24;516
"Maio/2019";11;71;316;104;37;539
"Junho/2019";12;83;331;117;41;584
"Julho/2019";20;80;334;133;37;604
"Agosto/2019";15;76;326;123;35;575
"Setembro/2019";29;71;323;123;47;593
