"Ano/mês processamento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"0 Ignorado/Exterior";"Total"
"Janeiro/2014";0;3;92;13;0;71973;72081
"Fevereiro/2014";0;0;115;23;5;84290;84433
"Março/2014";0;0;100;10;6;81490;81606
"Abril/2014";0;0;106;20;8;85877;86011
"Maio/2014";0;4;1;11;7;83651;83674
"Junho/2014";0;13;100;16;5;76610;76744
"Julho/2014";0;8;6;13;115;86049;86191
"Agosto/2014";0;4;8;6;5;87255;87278
"Setembro/2014";0;3;127;11;94;90442;90677
"Outubro/2014";0;8;4;14;117;87794;87937
"Novembro/2014";0;4;3;7;141;85561;85716
"Dezembro/2014";0;5;6;15;1;76472;76499
"Janeiro/2015";0;3;19;8;0;98837;98867
"Fevereiro/2015";0;8;10;6;0;75410;75434
"Março/2015";0;11;11;10;2;83243;83277
"Abril/2015";0;17;31;7;1;85530;85586
"Maio/2015";0;328;13;2;0;87367;87710
"Junho/2015";0;326;31;8;0;85348;85713
"Julho/2015";0;346;38;6;2;89225;89617
"Agosto/2015";0;339;189;11;0;81066;81605
"Setembro/2015";0;372;178;10;1;81169;81730
"Outubro/2015";1;447;5164;9;0;79998;85619
"Novembro/2015";7;307;303;8;1;87669;88295
"Dezembro/2015";10;280;8736;11;0;72139;81176
"Janeiro/2016";13;322;7524;6;0;76496;84361
"Fevereiro/2016";8;389;7769;9;0;75117;83292
"Março/2016";11;458;6061;16;1;86338;92885
"Abril/2016";10;455;6928;11;3;86803;94210
"Maio/2016";6;488;8169;10;0;80066;88739
"Junho/2016";4;444;7138;15;0;86021;93622
"Julho/2016";5;481;26838;58;1;89254;116637
"Agosto/2016";15;534;9611;10;1;98075;108246
"Setembro/2016";1;536;7087;6;1;96513;104144
"Outubro/2016";6;390;4907;12;0;96999;102314
"Novembro/2016";4;444;5723;40;1;87439;93651
"Dezembro/2016";6;404;5082;329;0;79076;84897
"Janeiro/2017";1;556;7500;461;1;73195;81714
"Fevereiro/2017";4;434;11707;211;0;79158;91514
"Março/2017";3;565;10389;293;1;90799;102050
"Abril/2017";3;543;12315;361;0;79452;92674
"Maio/2017";2;716;8707;595;1;99837;109858
"Junho/2017";0;781;12237;705;3;92994;106720
"Julho/2017";5;689;10558;595;0;90708;102555
"Agosto/2017";4;717;10752;747;0;130985;143205
"Setembro/2017";9;649;11560;557;22;94133;106930
"Outubro/2017";7;734;11507;755;8;94562;107573
"Novembro/2017";13;648;10809;716;18;96694;108898
"Dezembro/2017";16;541;10991;768;16;85302;97634
"Janeiro/2018";4;604;8827;1000;10;92136;102581
"Fevereiro/2018";73;521;12686;1052;37;91979;106348
"Março/2018";45;728;10468;1171;0;99256;111668
"Abril/2018";148;815;12066;1330;50;103101;117510
"Maio/2018";238;760;12144;1346;28;99218;113734
"Junho/2018";317;851;10355;1341;12;99532;112408
"Julho/2018";244;948;16072;1345;41;100491;119141
"Agosto/2018";321;976;16571;1389;44;108570;127871
"Setembro/2018";315;744;14651;1465;40;102277;119492
"Outubro/2018";380;1120;4867;1567;45;108095;116074
"Novembro/2018";341;1075;11668;1674;20;105431;120209
"Dezembro/2018";353;1018;10547;1430;20;96800;110168
"Janeiro/2019";289;685;8488;1581;14;98493;109550
