;Data;Ano;Mês;Período;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;0 Ignorado/Exterior;Total
0;2008-01-01;2008;1;pre_pand;0;0;0;0;0;5625;5625
1;2008-02-01;2008;2;pre_pand;0;0;0;0;0;7358;7358
2;2008-03-01;2008;3;pre_pand;0;0;0;0;0;7461;7461
3;2008-04-01;2008;4;pre_pand;0;0;0;0;0;9111;9111
4;2008-05-01;2008;5;pre_pand;0;0;0;0;0;8001;8001
5;2008-06-01;2008;6;pre_pand;0;0;0;0;0;9458;9458
6;2008-07-01;2008;7;pre_pand;0;0;0;0;0;9075;9075
7;2008-08-01;2008;8;pre_pand;0;0;0;0;0;10687;10687
8;2008-09-01;2008;9;pre_pand;0;0;0;0;0;10212;10212
9;2008-10-01;2008;10;pre_pand;0;0;0;0;0;9297;9297
10;2008-11-01;2008;11;pre_pand;0;0;0;0;0;10078;10078
11;2008-12-01;2008;12;pre_pand;0;0;0;0;0;9429;9429
12;2009-01-01;2009;1;pre_pand;0;0;0;0;0;8451;8451
13;2009-02-01;2009;2;pre_pand;0;0;0;0;0;10423;10423
14;2009-03-01;2009;3;pre_pand;0;0;0;0;0;9724;9724
15;2009-04-01;2009;4;pre_pand;0;0;0;0;0;9904;9904
16;2009-05-01;2009;5;pre_pand;0;0;0;0;0;10050;10050
17;2009-06-01;2009;6;pre_pand;0;0;0;0;0;10668;10668
18;2009-07-01;2009;7;pre_pand;0;0;0;0;0;10555;10555
19;2009-08-01;2009;8;pre_pand;0;0;0;0;0;11925;11925
20;2009-09-01;2009;9;pre_pand;0;0;0;0;0;11659;11659
21;2009-10-01;2009;10;pre_pand;0;0;0;0;0;11799;11799
22;2009-11-01;2009;11;pre_pand;0;0;0;0;0;12233;12233
23;2009-12-01;2009;12;pre_pand;0;0;0;0;0;11937;11937
24;2010-01-01;2010;1;pre_pand;0;0;0;0;0;11182;11182
25;2010-02-01;2010;2;pre_pand;0;0;0;0;0;12017;12017
26;2010-03-01;2010;3;pre_pand;0;0;0;0;0;13260;13260
27;2010-04-01;2010;4;pre_pand;0;0;0;0;0;12984;12984
28;2010-05-01;2010;5;pre_pand;0;0;0;0;0;13532;13532
29;2010-06-01;2010;6;pre_pand;0;0;0;0;0;13411;13411
30;2010-07-01;2010;7;pre_pand;0;0;0;0;0;13764;13764
31;2010-08-01;2010;8;pre_pand;0;0;0;0;0;14962;14962
32;2010-09-01;2010;9;pre_pand;0;0;0;0;0;14350;14350
33;2010-10-01;2010;10;pre_pand;0;0;0;0;0;13834;13834
34;2010-11-01;2010;11;pre_pand;0;0;0;0;0;14810;14810
35;2010-12-01;2010;12;pre_pand;0;0;0;0;0;13845;13845
36;2011-01-01;2011;1;pre_pand;117;763;5141;1542;732;320;8615
37;2011-02-01;2011;2;pre_pand;220;1283;7084;1863;1098;204;11752
38;2011-03-01;2011;3;pre_pand;301;1223;7206;2128;1089;0;11947
39;2011-04-01;2011;4;pre_pand;281;1380;7248;2289;1194;0;12392
40;2011-05-01;2011;5;pre_pand;193;1385;8221;2250;1316;0;13365
41;2011-06-01;2011;6;pre_pand;190;1819;8206;2328;1405;0;13948
42;2011-07-01;2011;7;pre_pand;163;1604;7782;2494;1059;0;13102
43;2011-08-01;2011;8;pre_pand;283;1530;8747;2630;1335;0;14525
44;2011-09-01;2011;9;pre_pand;191;1519;8515;2832;1287;0;14344
45;2011-10-01;2011;10;pre_pand;176;1632;8116;2949;1174;0;14047
46;2011-11-01;2011;11;pre_pand;162;1612;8070;2674;1249;0;13767
47;2011-12-01;2011;12;pre_pand;196;1631;7908;2681;1124;0;13540
48;2012-01-01;2012;1;pre_pand;246;1414;7412;2562;1128;0;12762
49;2012-02-01;2012;2;pre_pand;344;1413;7104;2269;1407;0;12537
50;2012-03-01;2012;3;pre_pand;173;1947;9298;2894;1264;0;15576
51;2012-04-01;2012;4;pre_pand;312;1773;8072;2726;1382;0;14265
52;2012-05-01;2012;5;pre_pand;363;2134;9246;3028;1523;0;16294
53;2012-06-01;2012;6;pre_pand;394;2123;9108;3010;1660;0;16295
54;2012-07-01;2012;7;pre_pand;319;1904;10193;2828;1636;0;16880
55;2012-08-01;2012;8;pre_pand;231;2039;9630;3115;1615;0;16630
56;2012-09-01;2012;9;pre_pand;297;1746;9076;3038;1435;0;15592
57;2012-10-01;2012;10;pre_pand;263;2032;10309;3456;1742;0;17802
58;2012-11-01;2012;11;pre_pand;176;2423;8680;2962;1447;0;15688
59;2012-12-01;2012;12;pre_pand;232;1603;8249;2654;1247;0;13985
60;2013-01-01;2013;1;pre_pand;192;2668;8346;2707;1256;0;15169
61;2013-02-01;2013;2;pre_pand;190;1383;8353;2550;1306;0;13782
62;2013-03-01;2013;3;pre_pand;359;1783;9249;3202;1353;0;15946
63;2013-04-01;2013;4;pre_pand;329;2421;10109;3348;1774;0;17981
64;2013-05-01;2013;5;pre_pand;376;2048;9787;3227;1713;0;17151
65;2013-06-01;2013;6;pre_pand;199;1655;8683;3527;1539;0;15603
66;2013-07-01;2013;7;pre_pand;290;2276;9629;3664;1603;0;17462
67;2013-08-01;2013;8;pre_pand;233;2104;10985;3661;1564;0;18547
68;2013-09-01;2013;9;pre_pand;316;2143;10487;3537;1570;0;18053
69;2013-10-01;2013;10;pre_pand;255;2226;11499;3989;1563;0;19532
70;2013-11-01;2013;11;pre_pand;478;2230;10070;3869;1645;0;18292
71;2013-12-01;2013;12;pre_pand;294;1998;9030;3207;1582;0;16111
72;2014-01-01;2014;1;pre_pand;301;2216;9754;3628;1481;0;17380
73;2014-02-01;2014;2;pre_pand;369;2275;10590;3451;1672;0;18357
74;2014-03-01;2014;3;pre_pand;340;2184;10529;3366;1445;0;17864
75;2014-04-01;2014;4;pre_pand;640;2226;10995;3616;1705;0;19182
76;2014-05-01;2014;5;pre_pand;540;2462;10698;4022;1913;0;19635
77;2014-06-01;2014;6;pre_pand;413;1743;10732;3646;1661;0;18195
78;2014-07-01;2014;7;pre_pand;336;2620;11709;3755;1781;0;20201
79;2014-08-01;2014;8;pre_pand;373;2513;11737;3976;1722;0;20321
80;2014-09-01;2014;9;pre_pand;416;2474;13055;4039;1824;0;21808
