;Data;Ano;Mês;Período;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste; Total
0;2013-01-01;2013;1;pre_pand;1;6;12;9;3;31
1;2013-02-01;2013;2;pre_pand;0;4;12;5;0;21
2;2013-03-01;2013;3;pre_pand;0;6;16;5;0;27
3;2013-04-01;2013;4;pre_pand;0;5;15;6;0;26
4;2013-05-01;2013;5;pre_pand;1;3;11;6;2;23
5;2013-06-01;2013;6;pre_pand;0;2;17;3;2;24
6;2013-07-01;2013;7;pre_pand;0;6;16;8;3;33
7;2013-08-01;2013;8;pre_pand;1;4;17;6;1;29
8;2013-09-01;2013;9;pre_pand;1;3;17;7;1;29
9;2013-10-01;2013;10;pre_pand;2;7;23;4;3;39
10;2013-11-01;2013;11;pre_pand;0;3;17;4;3;27
11;2013-12-01;2013;12;pre_pand;0;7;10;4;3;24
12;2014-01-01;2014;1;pre_pand;1;6;14;8;4;33
13;2014-02-01;2014;2;pre_pand;0;4;21;10;4;39
14;2014-03-01;2014;3;pre_pand;1;5;28;10;4;48
15;2014-04-01;2014;4;pre_pand;1;8;17;16;1;43
16;2014-05-01;2014;5;pre_pand;1;4;27;16;1;49
17;2014-06-01;2014;6;pre_pand;2;6;18;7;2;35
18;2014-07-01;2014;7;pre_pand;2;4;22;8;4;40
19;2014-08-01;2014;8;pre_pand;2;2;17;8;2;31
20;2014-09-01;2014;9;pre_pand;2;10;24;9;4;49
21;2014-10-01;2014;10;pre_pand;2;7;28;16;3;56
22;2014-11-01;2014;11;pre_pand;0;2;20;14;4;40
23;2014-12-01;2014;12;pre_pand;2;5;25;12;4;48
24;2015-01-01;2015;1;pre_pand;1;10;39;12;5;67
25;2015-02-01;2015;2;pre_pand;0;1;33;15;5;54
26;2015-03-01;2015;3;pre_pand;1;10;29;20;3;63
27;2015-04-01;2015;4;pre_pand;1;8;26;19;4;58
28;2015-05-01;2015;5;pre_pand;1;14;42;17;4;78
29;2015-06-01;2015;6;pre_pand;2;6;42;17;3;70
30;2015-07-01;2015;7;pre_pand;1;10;50;23;6;90
31;2015-08-01;2015;8;pre_pand;0;12;44;7;4;67
32;2015-09-01;2015;9;pre_pand;2;4;49;17;6;78
33;2015-10-01;2015;10;pre_pand;1;9;53;25;3;91
34;2015-11-01;2015;11;pre_pand;3;10;36;18;8;75
35;2015-12-01;2015;12;pre_pand;3;14;60;23;3;103
36;2016-01-01;2016;1;pre_pand;2;13;51;23;8;97
37;2016-02-01;2016;2;pre_pand;0;17;33;14;7;71
38;2016-03-01;2016;3;pre_pand;0;16;45;24;6;91
39;2016-04-01;2016;4;pre_pand;2;12;47;22;6;89
40;2016-05-01;2016;5;pre_pand;3;15;65;24;7;114
41;2016-06-01;2016;6;pre_pand;3;19;76;32;14;144
42;2016-07-01;2016;7;pre_pand;3;20;56;20;3;102
43;2016-08-01;2016;8;pre_pand;6;27;66;41;8;148
44;2016-09-01;2016;9;pre_pand;3;18;80;27;12;140
45;2016-10-01;2016;10;pre_pand;1;17;91;45;13;167
46;2016-11-01;2016;11;pre_pand;3;19;66;33;14;135
47;2016-12-01;2016;12;pre_pand;3;19;73;32;8;135
48;2017-01-01;2017;1;pre_pand;4;21;94;49;8;176
49;2017-02-01;2017;2;pre_pand;6;31;78;35;4;154
50;2017-03-01;2017;3;pre_pand;8;29;98;57;14;206
51;2017-04-01;2017;4;pre_pand;7;35;66;48;6;162
52;2017-05-01;2017;5;pre_pand;6;36;118;63;10;233
53;2017-06-01;2017;6;pre_pand;6;24;121;33;10;194
54;2017-07-01;2017;7;pre_pand;3;24;99;38;13;177
55;2017-08-01;2017;8;pre_pand;3;28;128;59;14;232
56;2017-09-01;2017;9;pre_pand;3;25;114;56;12;210
57;2017-10-01;2017;10;pre_pand;8;41;152;68;16;285
58;2017-11-01;2017;11;pre_pand;2;41;136;57;12;248
59;2017-12-01;2017;12;pre_pand;3;46;112;73;24;258
60;2018-01-01;2018;1;pre_pand;6;51;152;75;16;300
61;2018-02-01;2018;2;pre_pand;10;49;157;65;25;306
62;2018-03-01;2018;3;pre_pand;7;55;169;75;15;321
63;2018-04-01;2018;4;pre_pand;3;52;178;76;19;328
64;2018-05-01;2018;5;pre_pand;27;270;847;476;81;1701
65;2018-06-01;2018;6;pre_pand;32;295;787;426;66;1606
66;2018-07-01;2018;7;pre_pand;43;314;902;467;71;1797
67;2018-08-01;2018;8;pre_pand;37;299;967;493;89;1885
68;2018-09-01;2018;9;pre_pand;39;280;762;446;76;1603
69;2018-10-01;2018;10;pre_pand;32;292;990;532;73;1919
70;2018-11-01;2018;11;pre_pand;40;286;876;473;90;1765
71;2018-12-01;2018;12;pre_pand;43;288;721;434;74;1560
72;2019-01-01;2019;1;pre_pand;39;338;951;553;100;1981
73;2019-02-01;2019;2;pre_pand;50;289;945;421;91;1796
74;2019-03-01;2019;3;pre_pand;40;317;880;492;87;1816
75;2019-04-01;2019;4;pre_pand;64;337;1068;607;105;2181
76;2019-05-01;2019;5;pre_pand;55;383;1154;736;333;2661
77;2019-06-01;2019;6;pre_pand;79;336;1195;679;269;2558
78;2019-07-01;2019;7;pre_pand;63;390;1412;740;168;2773
79;2019-08-01;2019;8;pre_pand;69;386;1421;751;207;2834
80;2019-09-01;2019;9;pre_pand;74;412;1498;785;185;2954
81;2019-10-01;2019;10;pre_pand;65;466;1591;872;226;3220
82;2019-11-01;2019;11;pre_pand;69;449;1372;793;207;2890
83;2019-12-01;2019;12;pre_pand;84;421;1285;705;161;2656
84;2020-01-01;2020;1;pand;75;494;1442;884;221;3116
85;2020-02-01;2020;2;pand;74;387;1382;682;203;2728
86;2020-03-01;2020;3;pand;66;453;1412;690;154;2775
87;2020-04-01;2020;4;pand;50;358;1016;557;148;2129
88;2020-05-01;2020;5;pand;92;313;1127;686;186;2404
89;2020-06-01;2020;6;pand;80;378;1266;685;166;2575
90;2020-07-01;2020;7;pand;92;435;1277;691;136;2631
91;2020-08-01;2020;8;pand;71;423;1421;631;158;2704
