;Data;Ano;Mês;Período;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
0;2012-01-01;2012;1;pre_pand;12;33;202;78;22;347
1;2012-02-01;2012;2;pre_pand;13;48;200;71;24;356
2;2012-03-01;2012;3;pre_pand;9;54;208;79;18;368
3;2012-04-01;2012;4;pre_pand;6;57;223;59;22;367
4;2012-05-01;2012;5;pre_pand;5;54;234;76;26;395
5;2012-06-01;2012;6;pre_pand;8;47;236;71;22;384
6;2012-07-01;2012;7;pre_pand;9;71;206;69;28;383
7;2012-08-01;2012;8;pre_pand;14;46;208;88;24;380
8;2012-09-01;2012;9;pre_pand;4;54;205;69;21;353
9;2012-10-01;2012;10;pre_pand;10;56;221;75;30;392
10;2012-11-01;2012;11;pre_pand;12;43;191;74;34;354
11;2012-12-01;2012;12;pre_pand;8;49;211;72;35;375
12;2013-01-01;2013;1;pre_pand;12;44;215;91;24;386
13;2013-02-01;2013;2;pre_pand;16;46;218;107;24;411
14;2013-03-01;2013;3;pre_pand;19;34;226;94;26;399
15;2013-04-01;2013;4;pre_pand;10;56;224;85;13;388
16;2013-05-01;2013;5;pre_pand;10;72;228;82;33;425
17;2013-06-01;2013;6;pre_pand;10;59;251;101;21;442
18;2013-07-01;2013;7;pre_pand;13;52;226;110;25;426
19;2013-08-01;2013;8;pre_pand;3;75;247;83;27;435
20;2013-09-01;2013;9;pre_pand;7;55;228;94;22;406
21;2013-10-01;2013;10;pre_pand;10;55;200;91;24;380
22;2013-11-01;2013;11;pre_pand;7;57;246;97;22;429
23;2013-12-01;2013;12;pre_pand;10;44;217;86;37;394
24;2014-01-01;2014;1;pre_pand;15;58;236;106;29;444
25;2014-02-01;2014;2;pre_pand;12;58;213;80;24;387
26;2014-03-01;2014;3;pre_pand;6;49;240;74;33;402
27;2014-04-01;2014;4;pre_pand;9;64;228;109;24;434
28;2014-05-01;2014;5;pre_pand;13;60;257;113;23;466
29;2014-06-01;2014;6;pre_pand;10;51;257;89;24;431
30;2014-07-01;2014;7;pre_pand;15;62;246;101;27;451
31;2014-08-01;2014;8;pre_pand;10;71;248;96;28;453
32;2014-09-01;2014;9;pre_pand;16;55;231;93;18;413
33;2014-10-01;2014;10;pre_pand;8;50;255;103;31;447
34;2014-11-01;2014;11;pre_pand;12;55;262;100;20;449
35;2014-12-01;2014;12;pre_pand;7;63;219;92;25;406
36;2015-01-01;2015;1;pre_pand;21;49;226;86;18;400
37;2015-02-01;2015;2;pre_pand;20;77;254;102;22;475
38;2015-03-01;2015;3;pre_pand;12;60;271;105;34;482
39;2015-04-01;2015;4;pre_pand;8;55;242;107;26;438
40;2015-05-01;2015;5;pre_pand;14;66;261;100;33;474
41;2015-06-01;2015;6;pre_pand;10;67;232;102;28;439
42;2015-07-01;2015;7;pre_pand;8;57;248;118;22;453
43;2015-08-01;2015;8;pre_pand;11;62;264;108;33;478
44;2015-09-01;2015;9;pre_pand;10;58;279;94;32;473
45;2015-10-01;2015;10;pre_pand;9;73;239;103;19;443
46;2015-11-01;2015;11;pre_pand;7;57;271;99;16;450
47;2015-12-01;2015;12;pre_pand;15;49;279;97;18;458
48;2016-01-01;2016;1;pre_pand;11;66;255;100;27;459
49;2016-02-01;2016;2;pre_pand;18;67;278;118;18;499
50;2016-03-01;2016;3;pre_pand;11;53;274;128;32;498
51;2016-04-01;2016;4;pre_pand;17;65;255;113;22;472
52;2016-05-01;2016;5;pre_pand;14;90;240;114;28;486
53;2016-06-01;2016;6;pre_pand;22;70;275;111;20;498
54;2016-07-01;2016;7;pre_pand;22;63;266;114;27;492
55;2016-08-01;2016;8;pre_pand;17;77;280;95;30;499
56;2016-09-01;2016;9;pre_pand;16;64;223;90;41;434
57;2016-10-01;2016;10;pre_pand;21;77;224;110;28;460
58;2016-11-01;2016;11;pre_pand;21;63;248;118;31;481
59;2016-12-01;2016;12;pre_pand;18;63;268;87;21;457
60;2017-01-01;2017;1;pre_pand;14;67;311;103;48;543
61;2017-02-01;2017;2;pre_pand;12;61;241;99;31;444
62;2017-03-01;2017;3;pre_pand;16;64;285;128;27;520
63;2017-04-01;2017;4;pre_pand;8;52;279;113;30;482
64;2017-05-01;2017;5;pre_pand;20;57;296;104;34;511
65;2017-06-01;2017;6;pre_pand;22;67;268;125;30;512
66;2017-07-01;2017;7;pre_pand;17;71;266;117;23;494
67;2017-08-01;2017;8;pre_pand;11;66;291;108;28;504
68;2017-09-01;2017;9;pre_pand;19;72;286;113;26;516
69;2017-10-01;2017;10;pre_pand;18;62;287;103;32;502
70;2017-11-01;2017;11;pre_pand;13;77;298;114;33;535
71;2017-12-01;2017;12;pre_pand;8;52;275;108;21;464
72;2018-01-01;2018;1;pre_pand;18;68;278;126;33;523
73;2018-02-01;2018;2;pre_pand;17;70;291;118;38;534
74;2018-03-01;2018;3;pre_pand;24;58;303;120;29;534
75;2018-04-01;2018;4;pre_pand;18;79;294;94;25;510
76;2018-05-01;2018;5;pre_pand;17;77;289;101;26;510
77;2018-06-01;2018;6;pre_pand;6;93;329;114;24;566
78;2018-07-01;2018;7;pre_pand;18;72;297;112;35;534
79;2018-08-01;2018;8;pre_pand;12;96;276;108;35;527
80;2018-09-01;2018;9;pre_pand;18;87;296;104;30;535
81;2018-10-01;2018;10;pre_pand;10;73;298;111;26;518
82;2018-11-01;2018;11;pre_pand;14;60;266;110;37;487
83;2018-12-01;2018;12;pre_pand;14;78;270;116;26;504
84;2019-01-01;2019;1;pre_pand;18;88;326;108;32;572
85;2019-02-01;2019;2;pre_pand;17;71;326;110;38;562
86;2019-03-01;2019;3;pre_pand;20;69;327;106;39;561
87;2019-04-01;2019;4;pre_pand;17;54;300;121;24;516
88;2019-05-01;2019;5;pre_pand;11;71;316;104;37;539
89;2019-06-01;2019;6;pre_pand;12;83;331;117;41;584
90;2019-07-01;2019;7;pre_pand;20;80;334;133;37;604
91;2019-08-01;2019;8;pre_pand;15;76;326;123;35;575
92;2019-09-01;2019;9;pre_pand;29;71;323;123;47;593
