;Data;Ano;Mês;Período;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;0 Ignorado/Exterior;Total
0;2014-01-01;2014;1;pre_pand;0;3;92;13;0;71973;72081
1;2014-02-01;2014;2;pre_pand;0;0;115;23;5;84290;84433
2;2014-03-01;2014;3;pre_pand;0;0;100;10;6;81490;81606
3;2014-04-01;2014;4;pre_pand;0;0;106;20;8;85877;86011
4;2014-05-01;2014;5;pre_pand;0;4;1;11;7;83651;83674
5;2014-06-01;2014;6;pre_pand;0;13;100;16;5;76610;76744
6;2014-07-01;2014;7;pre_pand;0;8;6;13;115;86049;86191
7;2014-08-01;2014;8;pre_pand;0;4;8;6;5;87255;87278
8;2014-09-01;2014;9;pre_pand;0;3;127;11;94;90442;90677
9;2014-10-01;2014;10;pre_pand;0;8;4;14;117;87794;87937
10;2014-11-01;2014;11;pre_pand;0;4;3;7;141;85561;85716
11;2014-12-01;2014;12;pre_pand;0;5;6;15;1;76472;76499
12;2015-01-01;2015;1;pre_pand;0;3;19;8;0;98837;98867
13;2015-02-01;2015;2;pre_pand;0;8;10;6;0;75410;75434
14;2015-03-01;2015;3;pre_pand;0;11;11;10;2;83243;83277
15;2015-04-01;2015;4;pre_pand;0;17;31;7;1;85530;85586
16;2015-05-01;2015;5;pre_pand;0;328;13;2;0;87367;87710
17;2015-06-01;2015;6;pre_pand;0;326;31;8;0;85348;85713
18;2015-07-01;2015;7;pre_pand;0;346;38;6;2;89225;89617
19;2015-08-01;2015;8;pre_pand;0;339;189;11;0;81066;81605
20;2015-09-01;2015;9;pre_pand;0;372;178;10;1;81169;81730
21;2015-10-01;2015;10;pre_pand;1;447;5164;9;0;79998;85619
22;2015-11-01;2015;11;pre_pand;7;307;303;8;1;87669;88295
23;2015-12-01;2015;12;pre_pand;10;280;8736;11;0;72139;81176
24;2016-01-01;2016;1;pre_pand;13;322;7524;6;0;76496;84361
25;2016-02-01;2016;2;pre_pand;8;389;7769;9;0;75117;83292
26;2016-03-01;2016;3;pre_pand;11;458;6061;16;1;86338;92885
27;2016-04-01;2016;4;pre_pand;10;455;6928;11;3;86803;94210
28;2016-05-01;2016;5;pre_pand;6;488;8169;10;0;80066;88739
29;2016-06-01;2016;6;pre_pand;4;444;7138;15;0;86021;93622
30;2016-07-01;2016;7;pre_pand;5;481;26838;58;1;89254;116637
31;2016-08-01;2016;8;pre_pand;15;534;9611;10;1;98075;108246
32;2016-09-01;2016;9;pre_pand;1;536;7087;6;1;96513;104144
33;2016-10-01;2016;10;pre_pand;6;390;4907;12;0;96999;102314
34;2016-11-01;2016;11;pre_pand;4;444;5723;40;1;87439;93651
